commit,mean_rmse,frac_interpretability_tests_passed,status,model_name,description
baseline,0.635868,0.6000,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,0.671197,0.6400,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,0.652878,0.6800,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,0.780997,0.7600,baseline,OLS,ordinary least squares linear regression
baseline,0.798742,0.5600,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,0.762501,0.6800,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,0.592144,0.5200,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,0.574402,0.7200,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,106.979809,0.4400,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,0.653853,0.6000,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,0.629423,0.8000,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,0.622744,0.6800,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,0.663492,0.7600,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,0.634780,0.8000,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,0.886256,0.2800,baseline,TreeGAM,tree-based generalized additive model with max_leaf_nodes of 3
ffbc8ce,0.651105,0.6400,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
